 ,Label,Area,Perim.,Circ.,AR,Round,Solidity
1,blobs.gif,433,92.91169,0.63031,2.07469,0.48200,0.85998
2,blobs.gif,185,55.21320,0.76260,1.77847,0.56228,0.95116
3,blobs.gif,658,97.35534,0.87240,1.06829,0.93607,0.96694
4,blobs.gif,434,78.52691,0.88443,1.06364,0.94017,0.95912
5,blobs.gif,477,85.45584,0.82081,1.56967,0.63708,0.96755
6,blobs.gif,285,62.18377,0.92619,1.15337,0.86703,0.93750
7,blobs.gif,81,32.38478,0.97054,1.20425,0.83039,0.92571
8,blobs.gif,278,63.94113,0.85446,1.38868,0.72011,0.91901
9,blobs.gif,231,55.69848,0.93570,1.14066,0.87668,0.94094
10,blobs.gif,30,30.48528,0.40565,4.33842,0.23050,0.86957
11,blobs.gif,501,82.66905,0.92122,1.07476,0.93044,0.94797
12,blobs.gif,660,98.32590,0.85786,1.33708,0.74790,0.95169
13,blobs.gif,99,35.79899,0.97074,1.26942,0.78776,0.94286
14,blobs.gif,228,55.69848,0.92354,1.14208,0.87560,0.94021
15,blobs.gif,448,78.42641,0.91530,1.20734,0.82827,0.94715
16,blobs.gif,401,87.49747,0.65821,2.49878,0.40020,0.89012
17,blobs.gif,520,84.66905,0.91152,1.18202,0.84601,0.95151
18,blobs.gif,425,77.84062,0.88143,1.45068,0.68933,0.95291
19,blobs.gif,271,62.18377,0.88069,1.34761,0.74205,0.92177
20,blobs.gif,350,68.76955,0.93001,1.16836,0.85590,0.94340
21,blobs.gif,159,46.28427,0.93270,1.22497,0.81634,0.92982
22,blobs.gif,412,75.59798,0.90591,1.10584,0.90429,0.94495
23,blobs.gif,426,87.49747,0.69924,1.80993,0.55251,0.86939
24,blobs.gif,260,59.94113,0.90935,1.15347,0.86695,0.93190
25,blobs.gif,506,87.94113,0.82220,1.67725,0.59621,0.96106
26,blobs.gif,289,62.76955,0.92174,1.13124,0.88398,0.93528
27,blobs.gif,676,104.32590,0.78050,1.48251,0.67453,0.90860
28,blobs.gif,175,53.21320,0.77662,1.76336,0.56710,0.95109
29,blobs.gif,361,70.18377,0.92097,1.22205,0.81830,0.94503
30,blobs.gif,545,86.91169,0.90667,1.22458,0.81661,0.94865
31,blobs.gif,610,112.56854,0.60493,2.74836,0.36385,0.84840
32,blobs.gif,14,12.48528,1.00000,1.01986,0.98052,0.93333
33,blobs.gif,641,106.56854,0.70927,1.93591,0.51655,0.88414
34,blobs.gif,195,51.11270,0.93797,1.14730,0.87161,0.92857
35,blobs.gif,593,89.25483,0.93541,1.08955,0.91781,0.96032
36,blobs.gif,22,17.31371,0.92226,1.46402,0.68305,0.86275
37,blobs.gif,268,59.94113,0.93734,1.29382,0.77291,0.95374
38,blobs.gif,902,132.22540,0.64832,2.51688,0.39732,0.90836
39,blobs.gif,473,87.25483,0.78071,1.74310,0.57369,0.94600
40,blobs.gif,239,57.11270,0.92075,1.21333,0.82418,0.93910
41,blobs.gif,167,48.04163,0.90927,1.29054,0.77487,0.93296
42,blobs.gif,413,76.76955,0.88061,1.37460,0.72748,0.95052
43,blobs.gif,415,77.59798,0.86608,1.24613,0.80249,0.93679
44,blobs.gif,244,57.94113,0.91333,1.13768,0.87898,0.92952
45,blobs.gif,377,72.52691,0.90064,1.28529,0.77803,0.95202
46,blobs.gif,652,94.42641,0.91890,1.11493,0.89692,0.96165
47,blobs.gif,379,72.18377,0.91405,1.14859,0.87063,0.94750
48,blobs.gif,578,89.01219,0.91672,1.05028,0.95212,0.95616
49,blobs.gif,69,38.97056,0.57093,2.96497,0.33727,0.88462
50,blobs.gif,170,47.69848,0.93897,1.35798,0.73639,0.93151
51,blobs.gif,472,89.25483,0.74454,2.04163,0.48981,0.92188
52,blobs.gif,613,94.22540,0.86763,1.35367,0.73873,0.94163
53,blobs.gif,543,86.66905,0.90841,1.32019,0.75747,0.95347
54,blobs.gif,204,62.87006,0.64856,2.22133,0.45018,0.93793
55,blobs.gif,555,87.25483,0.91606,1.07320,0.93180,0.95361
56,blobs.gif,858,113.74012,0.83343,1.56432,0.63926,0.94912
57,blobs.gif,281,62.76955,0.89623,1.32189,0.75649,0.92739
58,blobs.gif,215,54.52691,0.90871,1.30704,0.76509,0.92873
59,blobs.gif,3,5.65685,1.00000,1.46385,0.68313,0.85714
60,blobs.gif,1,2.82843,1.00000,1.00000,1.00000,1.00000
61,blobs.gif,81,42.38478,0.56660,3.08249,0.32441,0.91011
62,blobs.gif,90,49.55635,0.46053,4.09479,0.24421,0.93264
63,blobs.gif,53,35.55635,0.52681,2.85939,0.34973,0.89076
64,blobs.gif,49,36.72792,0.45647,4.27743,0.23379,0.88288
